paper_id,title
9301042,Phases of $N=2$ Theories In Two Dimensions
9301043,Multiple Mirror Manifolds and Topology Change in String Theory
9201015,An Algorithm to Generate Classical Solutions for String Effective Action
9201040,Target Space Duality as a Symmetry of String Field Theory
9201047,"Duality-Invariant Gaugino Condensation and One-Loop Corrected Kahler Potentials in String Theory, Dieter Lust and Carlos Munoz"
9202046,"Duality Anomaly Cancellation, Minimal String Unification and the Effective Low-Energy Lagrangian of 4-D Strings"
9202059,Axion Couplings and Effective Cut-Offs in Superstring Compactifications
9202092,"Strings on Curved Spacetimes: Black Holes, Torsion, and Duality"
9203008,Gauge Symmetries of the N=2 String
9203031,Two Dimensional Stringy Black Holes with One Asymptotically Flat Domain
9204037,Yukawa Couplings for Bosonic $Z_N$ Orbifolds: Their Moduli and Twisted Sector Dependence
9204046,Rotating Charged Black Hole Solution in Heterotic String Theory
9205046,Cosmological String Backgrounds from Gauged WZW Models
9205060,Cosmological Implications of Domain Walls due to Duality Invariant Moduli Sector of Superstring Vacua
9205062,Four Dimensional Stringy Black Membrane
9205068,"ERRATA for ""One-Loop Threshold Effects in String Unification"""
9206023,On String Field Theory and Effective Actions
9206051,"Gauged String Actions and O($\tilde{d}$, $\tilde{d}$) Transformation"
9206078,"A Closed, Expanding Universe in String Theory"
9207016,Noncompact Symmetries in String Theory
9208076,On Cosmological String Backgrounds with Toroidal Isometries
9209052,Boosting Away Singularities from Conformal String Backgrounds
9210015,Dilaton shift under duality and torsion of elliptic complex
9210021,Duality Symmetries from Non--Abelian Isometries in String Theories
9210121,"Marginal Deformations of WZNW and Coset Models from O(d,d) Transformation"
9211021,Pre-Big-Bang in String Cosmology
9211041,Wormholes and symmetries of string effective action
9212089,A Comment on Duality Transformations and (Discrete) Gauge Symmetries in Four-Dimensional Strings
9301005,"Duality, Marginal Perturbations and Gauging"
9302033,Exact Duality Symmetries in CFT and String Theory
9302069,Topology changing processes and symmetries of string effective action
9302126,Exact Three Dimensional Black Holes in String Theory
9303032,"$O(\tilde d,\tilde d)$ Transformations and 3D Black Hole"
9304155,Heterotic string solutions and coset conformal field theories
9305185,Duality Symmetries of 4D Heterotic Strings
9308042,On field redefinitions and exact solutions in string theory
9305139,Finite in All Directions
9309140,Kodaira-Spencer Theory of Gravity and Exact Results for Quantum String Amplitudes
9204102,A New Supersymmetric Index
9211097,"On Classification of N=2 Supersymmetric Theories, (e-mail uncorrupted version)"
9402002,Strong-Weak Coupling Duality in Four Dimensional String Theory
9402005,Field Dependent Gauge Couplings in Locally Supersymmetric Effective Quantum Field Theories
9402044,Exact Results on the Space of Vacua of Four Dimensional SUSY Gauge Theories
9403195,Supersymmetric Yang-Mills Theory On A Four-Manifold
9403198,Exact Superpotentials in Four Dimensions
9406128,Non-Abelian Strong-Weak Coupling Duality in (String-Derived) N=4 Supersymmetric Yang-Mills Theories
9205081,A Heterotic Multimonopole Solution
9207053,Electric Magnetic Duality in String Theory
9208055,Putting String/Fivebrane Duality to the Test
9209016,Quantization of Dyon Charge and Electric-Magnetic Duality in String Theory
9211056,Magnetic Monopoles in String Theory
9303057,"Magnetic Monopoles, Bogomol'nyi Bound and SL(2,Z) Invariance in String Theory"
9305142,Four-Dimensional String/String Duality
9306052,Black and super p-branes in diverse dimensions
9306125,Five-Brane Effective Field Theory on Calabi-Yau Threefolds
9311120,"New Black Hole, String and Membrane Solutions of the Four-Dimensional Heterotic String"
9402032,"Dyon - Monopole Bound States, Self-Dual Harmonic Forms on the Multi-Monopole Moduli Space, and SL(2,Z) Invariance in String Theory"
9406105,Massive String States as Extreme Black Holes
9406198,Putting string/string duality to the test
9407021,On Target-Space Duality in p-Branes
9407111,S-Duality and the Spectrum of Magnetic Monopoles in Heterotic String Theory
9408040,Extremal black holes as exact string solutions
9408074,A Strong Coupling Test of S-Duality
9408083,Strong-Weak Coupling Duality in Three Dimensional String Theory
9409021,A New Class of Exact Solutions in String Theory
9410167,Unity of Superstring Dualities
9410210,Classical/Quantum Duality
9412184,String Solitons
9205027,Supersymmetry as a Cosmic Censor
9406012,Summing Over World-Sheet Boundaries
9411149,Electric-Magnetic Duality in Supersymmetric Non-Abelian Gauge Theories
9411178,Evidence for Non-perturbative String Symmetries
9201059,Quantum Hair on Black Holes
9309152,Hairy Black Holes in String Theory
9310067,"Hidden symmetries, special geometry and quaternionic manifolds"
9412115,The Moduli Space of N = 2 Superconformal Field Theories
9501068,The eleven-dimensional supermembrane revisited
9502072,"Duality Transformations in Supersymmetric Yang-Mills Theories coupled to Supergravity,"
9504027,STRING STRING DUALITY CONJECTURE IN SIX DIMENSIONS AND CHARGED SOLITONIC STRINGS
9504047,The Heterotic String is a Soliton
9304154,Duality Symmetric Actions
9501022,Reducing $S$- duality to $T$- duality
9502057,"S-Duality in N=4 Yang-Mills Theories with General Gauge Groups,"
9503179,"Duality, Monopoles, Dyons, Confinement and Oblique Confinement in Supersymmetric SO(N_c) Gauge Theories"
9308083,Mirror Symmetry for Two Parameter Models -- I
9411048,Simple Singularities and N=2 Supersymmetric Yang-Mills Theory
9411057,The Vacuum Structure and Spectrum of N=2 Supersymmetric SU(N) Gauge Theory
9501111,"Duality of (0,2) String Vacua"
9502077,On Gauge Couplings in String Theory
9503163,Dynamics of $SU(N)$ Supersymmetric Gauge Theory
9504006,Perturbative Couplings of Vector Multiplets in $N=2$ Heterotic String Vacua
9504034,Perturbative Prepotential and Monodromies in N=2 Heterotic Superstring
9505023,A Stringy Test of the Fate of the Conifold
9505053,A One-Loop Test Of String Duality
9505062,New Phenomena in SU(3) Supersymmetric Gauge Theory
9302103,Holomorphic Anomalies in Topological Field Theories
9305069,"Dilaton, moduli and string/five-brane duality as seen from four dimensions"
9406032,"Chiral Rings Do Not Suffice: N=(2,2) Theories with Nonzero Fundamental Group"
9409188,On Orbifolds with Discrete Torsion
9406055,"Mirror Symmetry, Mirror Map and Applications to Complete Intersection Calabi-Yau Spaces"
9408036,On the Geometry of Moduli Space of Vacua in N=2 Supersymmetric Yang-Mills Theory
9411234,Arithmetic Properties of Mirror Map and Quantum Coupling
9412200,On Electromagnetic Duality in Locally Supersymmetric N=2 Yang--Mills Theory
9506075,A Search for Non-Perturbative Dualities of Local $N=2$ Yang--Mills Theories from Calabi--Yau Threefolds
9506091,Mirror Symmetry and the Moduli Space for Generic Hypersurfaces in Toric Varieties
9506024,A Note on the String Analog of $N=2$ Super-Symmetric Yang-Mills
9506077,The Power of Duality -- Exact Results in 4D SUSY Field Theory
9506110,Aspects of Duality in N=2 String Vacua
9506160,Ten Dimensional Heterotic String as a Soliton
9506194,String-String Duality in Ten Dimensions
9507027,Type IIA Dual of the Six-Dimensional CHL Compactification
9207060,Type II p-branes: the brane-scan revisited
9503212,"Criteria for Conformal Invariance of (0,2) Models"
9506126,Eleven Dimensional Origin of String/String Duality: A One Loop Test
9506150,Compactification of D=11 supergravity on spaces of exceptional holonomy
9507048,p-Brane Democracy
9303106,Axion-Dilaton Black Holes
9410073,Higher-dimensional resolution of dilatonic black hole singularities
9411187,Black Hole Solutions in Heterotic String Theory on a Torus
9504081,Duality in the Type--II Superstring Effective Action
9504095,String-Membrane Duality in Seven Dimensions
9506057,Supersymmetry and Dual String Solitons
9507090,Dyonic BPS Saturated Black Holes of Heterotic String on a Six-Torus
9508056,Heterotic-Type II String Duality and the H-Monopole Problem
9304135,ALE manifolds and Conformal Field Theory
9412209,Threshold Corrections and Symmetry Enhancement in String Compactifications
9505073,Enhanced Gauge Symmetries in Superstring Theories
9505150,Nonperturbative Effective Actions of N=2 Supersymmetric Gauge Theories
9506084,Phases of $N=1$ Supersymmetric Gauge Theories and Electric-Magnetic Triality
9506102,Instantons and recursion relations in N=2 Susy gauge theory
9507113,Non-perturbative monodromies in N=2 heterotic string vacua
9507115,N=2 Type II- Heterotic duality and Higher derivative F-terms
9507121,Some Comments On String Dynamics
9507151,"Mirror Maps, Modular Relations and Hypergeometric Series I"
9507153,"Mirror Maps, Modular Relations and Hypergeometric Series II"
9507168,N=1 String Duality
9508044,String Theory near a Conifold Singularity
9508064,Dual Pairs of Type II String Compactification
9508071,Quantum Moduli Spaces of $N=1$ String Theories
9508096,Nonsupersymmetric String Solitons
9508143,"An SL(2,Z) Multiplet of Type IIB Superstrings"
9508144,Type IIA-Heterotic Duals With Maximal Supersymmetry
9409110,On the Geometric Interpretation of N = 2 Superconformal Theories
9503208,Stable Singularities in String Theory
9507012,Enhanced Gauge Symmetries and K3 Surfaces
9508154,Some Relationships Between Dualities in String Theory
9509009,Exact Monodromy Group of N=2 Heterotic Superstring
9510093,"Chains of N=2, D=4 heterotic/type II duals"
9201056,Algebraic Structures and Differential Geometry in 2D String Theory
9206080,Kleinian Singularities and the Ground Ring of C=1 String Theory
9301083,Two dimensional black-hole as a topological coset model of c=1 string theory
9307158,Topological Amplitudes in String Theory
9308062,Perturbation of the Ground Varieties of C = 1 String Theory
9407031,Combinatorics of Boundaries in String Theory
9506122,c=1 String as the Topological Theory of the Conifold
9509066,Lectures on supersymmetric gauge theories and electric-magnetic duality
9510135,Bound States Of Strings And $p$-Branes
9510169,Evidence for Heterotic - Type I String Duality
9204030,Moduli Corrections to Gauge and Gravitational Couplings in four dimensional Superstrings
9205009,"Coordinate and K\""{a}hler $\sigma$-Model Anomalies and Their Cancellation in String Effective Field Theories"
9510017,Dirichlet-Branes and Ramond-Ramond Charges
9510173,On SO(32) heterotic - type I superstring duality in ten dimensions
9510182,"Algebras, BPS States, and Strings"
9412236,Summing the Instantons: Quantum Cohomology and Mirror Symmetry in Toric Varieties
9511164,Two-Dimensional Black Hole and Singularities of CY Manifolds
9511222,D-Branes and Topological Field Theories
9512016,Mirror Symmetry and the Type II String
9512017,$S$-Duality and the Calabi-Yau Interpretation of the $N = 4$ to $N = 2$ Flow
9512059,Open P-Branes
9512145,Orbifolds and Solitons
9601014,Strong Coupling Singularities and Non-abelian Gauge Symmetries in $N=2$ String Theory
9601038,Consistency Conditions for Orientifolds and D-Manifolds
9206101,Self-Dual Supergravity Theories in 2+2 Dimensions
9409111,Is Supersymmetry Really Broken?
9505183,All Loop N=2 String Amplitudes
9506101,STRONG COUPLING AND THE COSMOLOGICAL CONSTANT
9510086,The Power of M Theory
9510161,Boundary States of D-Branes and Dy-Strings
9510209,Heterotic and Type I String Dynamics from Eleven Dimensions
9511080,Instantons and seven-branes in type IIB superstring theory
9512077,Branes within Branes
9512181,String Dynamics at Strong Coupling
9512196,Orbifolds of M-theory
9512219,Five-branes And $M$-Theory On An Orbifold
9601036,Evidence for Heterotic/Heterotic Duality
9602010,M-Theory on (K3 X S^1)/Z_2
9210127,A Note on the Green - Schwarz Mechanism in Open - String Theories
9304104,Anomaly Cancellation in Six Dimensions
9506156,Solution--Generating Transformations and the String Effective Action
9508107,Towards Mirror Symmetry as Duality for Two-Dimensional Abelian Gauge Theories
9509106,Electric/magnetic duality and its stringy origins
9512129,"BPS Spectra and Non--Perturbative Couplings in N=2,4 Supersymmetric String Theories"
9512178,"A Non--Supersymmetric Dyonic Extreme Reissner--Nordstr\""{o}m Black Hole"
9602049,New Principles for String/Membrane Unification
9602064,Self-duality of Born-Infeld action and Dirichlet 3-brane of type IIB superstring theory
9602097,"Heterotic/Heterotic Duality in D=6,4"
9602118,Heterotic-Heterotic String Duality and Multiple K3 Fibrations
9512053,Anomaly-Free Supersymmetric Models in Six Dimensions
9602030,An Orientifold of Type-IIB Theory on $K3$
9602070,Strong Coupling Expansion Of Calabi-Yau Compactification
9602098,Infinite Energy Dyon Solutions
9602120,Small $E_8$ Instantons and Tensionless Non-critical Strings
9404060,Minimum Distances in Non-Trivial String Target Spaces
9511108,N=2 Heterotic Superstring and its Dual Theory in Five Dimensions
9511157,Recent Results in String Duality
9602102,M-Theory on a Calabi-Yau Manifold
9603037,Heterotic phase transitions and singularities of the gauge dyonic string
9511204,Black Hole Condensation and the Web of Calabi-Yau Manifolds
9512078,Instantons on D-branes
9509151,Four-Dimensional Avatars of Two-Dimensional RCFT
9511026,U-duality and Intersecting D-branes
9511088,Gas of D-Branes and Hagedorn Density of BPS States
9601029,Microscopic Origin of the Bekenstein-Hawking Entropy
9601162,Explicit Construction of Yang-Mills Instantons on ALE Spaces
9602052,Notes on D-Branes
9603142,Eleven-Dimensional Supergravity on a Manifold with Boundary
9309110,"(0,2) Landau-Ginzburg Theory"
9403054,"Global U(1) R-Symmetry And Conformal Invariance Of (0,2) Models"
9406090,"Singlet Couplings and (0,2) Models"
9412117,Mirror Symmetry for Calabi-Yau Hypersurfaces in Weighted P_4 and Extensions of Landau Ginzburg Theory
9502012,"Notes on (0,2) Superconformal Field Theories"
9510055,"The (0,2) Exactly Solvable Structure of Chiral Rings, Landau-Ginzburg Theories and Calabi-Yau Manifolds"
9605036,SUSY Gauge Dynamics and Singularities of 4d N=1 String Vacua
9603081,D-particle Dynamics and Bound States
9603127,A Comment on Zero-brane Quantum Mechanics
9604198,Gauge Fields and D-branes
9605150,F-theory and Orientifolds
9605199,Probing F-theory With Branes
9406178,Introduction to Duality
9510227,New Vacua for Type II String Theory
9512062,D-branes from M-branes
9603042,The Moduli Space of N=2 SUSY QCD and Duality in N=1 SUSY QCD
9602167,The Moduli Space of Many BPS Monopoles for Arbitrary Gauge Groups
9509132,Another Length Scale in String Theory?
9608039,A Geometric Realization of Confinement
9608079,Summing up D-Instantons
9604097,Low-Energy Analysis of $M$ and $F$ Theories on Calabi-Yau Threefolds
9605154,New Higgs Transitions between Dual N=2 String Models
9608111,"Five Dimensional SUSY Field Theories, Non-trivial Fixed Points and String Dynamics"
9605131,The SO(32) Heterotic String on a K3 Surface
9605200,Geometric Singularities and Enhanced Gauge Symmetries
9606044,F-Theory at Constant Coupling
9606086,Matter From Geometry
9607020,A Test Of The Chiral E8 Current Algebra On A 6D Non-Critical String
9607139,BPS States of Exceptional Non-Critical Strings
9608024,D-branes and Short Distances in String Theory
9608047,An N=2 Superconformal Fixed Point with E_6 Global Symmetry
9608109,Toroidal Compactification of Heterotic 6D Non-Critical Strings Down to Four Dimensions
9509042,Topological partition function and string-string duality
9509161,Integrable systems and supersymmetric gauge theory
9510106,Superspace Effective Actions for 4D Compactifications of Heterotic and Type II Superstrings
9602051,Counting States of Near-Extremal Black Holes
9603108,Instanton Numbers and Exchange Symmetries in $N=2$ Dual String Pairs
9608194,"Singularities, Gauge Dynamics, and Nonperturbative Superpotentials in String Theory"
9511077,Who changes the string coupling ?
9512226,Monstrous String-String Duality
9603170,Duality Between the Webs of Heterotic and Type II Vacua
9604034,Self-Dual Strings and N=2 Supersymmetric Field Theory
9609161,Non-trivial Fixed Points of The Renormalization Group in Six Dimensions
9604129,K3 Orientifolds
9606165,Tensors from K3 Orientifolds
9610111,Colliding Singularities in F-theory and Phase Transitions
9602065,D--branes and Spinning Black Holes
9604030,Non-Perturbative Superpotentials In String Theory
9605053,M-Theory on Eight-Manifolds
9606122,Constraints on Low-Dimensional String Compactifications
9606148,F-Theory on Calabi-Yau Fourfolds
9607091,A Non-Perturbative Superpotential With $E_8$ Symmetry
9607105,Twelve-Dimensional Aspects of Four-Dimensional N=1 Type I Vacua
9610195,Unification of M- and F- Theory Calabi-Yau Fourfold Vacua
9610251,"Branes, Calabi-Yau Spaces, and Toroidal Compactification of the N=1 Six-Dimensional E_8 Theory"
9611090,Geometric Engineering of N=1 Quantum Field Theories
9612052,"F-theory, Geometric Engineering and N=1 Dualities"
9701015,N=1 Dualities of SO and USp Gauge Theories and T-Duality of String Theory
9701023,Calabi-Yau fourfolds for M- and F-Theory compactifications
9701147,F theory Vacua in Four Dimensions and Toric Threefolds
9503115,INSTANTON CALCULATIONS VERSUS EXACT RESULTS IN 4 DIMENSIONAL SUSY GAUGE THEORIES.
9505006,"Exact Superpotentials, Quantum Vacua and Duality in Supersymmetric SP(N_c) Gauge Theories"
9505075,On the Quantum Moduli Space of Vacua of $N=2$ Supersymmetric $SU(N_c)$ Gauge Theories
9505082,Studying Non-calculable Models of Dynamical Supersymmetry Breaking
9505100,The Coulomb Phase of N=2 Supersymmetric QCD
9506098,Varieties of vacua in classical supersymmetric gauge theories
9507013,Exotic Non-Supersymmetric Gauge Dynamics from Supersymmetric QCD
9507018,Chiral Duals of Non-Chiral SUSY Gauge Theories
9507032,Hyperelliptic curves for Supersymmetric Yang-Mills
9507169,Some Examples of Chiral Moduli Spaces and Dynamical Supersymmetry Breaking
9510148,Duality in SUSY $SU(N)$ with an Antisymmetric Tensor
9510228,A Chiral $SU(N)$ Gauge Theory and its Non-Chiral $Spin(8)$ Dual
9511154,New N=2 Superconformal Field Theories in Four Dimensions
9603086,"Magnetic Monopoles, Duality, and Supersymmetry"
9603136,Multi-Instanton Calculus in $N=2$ Supersymmetric Gauge Theory
9603158,Dynamical Supersymmetry Breaking on Quantum Moduli Spaces
9607076,Multi-instanton calculus in N=2 supersymmetric QCD
9607202,Multi-Instanton Calculus in N=2 Supersymmetric Gauge Theory II: Coupling to Matter
9610132,Nonperturbative Quantum Field Theory on the Lattice
9611190,Introduction to Seiberg-Witten Theory and its Stringy Origin
9611197,Patterns of Duality in N=1 SUSY Gauge Theories
9612114,Introduction to Supersymmetry
9612207,Confinement in N=1 SUSY Gauge Theories and Model Building Tools
9204060,Landau-Ginzburg String Vacua
9205004,No Mirror Symmetry in Landau-Ginzburg Spectra!
9304026,On the Landau-Ginzburg Description of $N=2$ Minimal Models
9509049,Phases of mirror symmetry
9511230,On the Connectedness of the Moduli Space of Calabi--Yau Manifolds
9606112,D-Branes on Calabi-Yau Spaces and Their Mirrors
9606008,Generalized Green-Schwarz mechanism in F theory
9609219,Five Dimensional Gauge Theories and Relativistic Integrable Systems
9207091,Broken sigma-model isometries in very special geometry
9210068,Symmetry structure of special geometries
9504102,The Moduli Space and Monodromies of N=2 Supersymmetric \(SO(2r+1) \) Yang-Mills Theory
9505097,Isometries of special manifolds
9507008,On the Monodromies of N=2 Supersymmetric Yang-Mills Theory with Gauge Group SO(2n)
9509175,The Vacuum Structure of N=2 SuperQCD with Classical Gauge Groups
9509176,On the Quantum Moduli Space of N=2 Supersymmetric Gauge Theories
9510074,Minimal Higgs Branch for the Breaking of Half of the Supersymmetries in N=2 Supergravity
9511180,Exceptional Equivalences in N=2 Supersymmetric Yang-Mills Theory
9512005,The Moduli Space of the $N=2$ Supersymmetric $G_{2}$ Yang-Mills Theory
9512006,Spontaneous Breaking of N=2 Global Supersymmetry
9512139,Vector multiplets in N=2 supersymmetry and its associated moduli spaces
9603004,General Matter Coupled N=2 Supergravity
9604062,Dual N=2 SUSY Breaking
9605032,"N=2 Supergravity and N=2 Super Yang-Mills Theory on General Scalar Manifolds: Symplectic Covariance, Gaugings and the Momentum Map"
9606043,The Moduli Space and Monodromies of the $N=2$ Supersymmetric Yang-Mills Theory with any Lie Gauge Groups
9606073,The Definitions of Special Geometry
9607032,Spontaneous N=2 --> N=1 local supersymmetry breaking with surviving local gauge group
9608183,Exceptional SW Geometry from ALE Fibrations
9609059,On the Moduli Space of N = 2 Supersymmetric G_2 Gauge Theory
9611112,N=2 Supergravity and Special Geometry
9611188,Partial N=2 --> N=1 Local Supersymmetry Breaking and Solvable Lie Algebras
9612105,U-Duality and Central Charges in Various Dimensions Revisited
9505035,Integrability and Seiberg-Witten Exact Solution
9506011,Global Aspects of Electric-Magnetic Duality
9509162,Whitham-Toda hierarchy and N = 2 supersymmetric Yang-Mills theory
9510101,Supersymmetric Yang-Mills Systems And Integrable Systems
9608085,"HyperK\""{a}hler Quotient Construction of BPS Monopole Moduli Spaces"
9611230,"Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge Dynamics"
9612131,"Mirror Symmetry in Three-Dimensional Gauge Theories, SL(2,Z) and D-Brane Moduli Spaces"
9702014,Branes and N=1 Duality in String Theory
9702154,Branes and Mirror Symmetry in N=2 Supersymmetric Gauge Theories in Three Dimensions
9509146,String-dual $F_1$-Function in the Three Parameter Model
9606133,F-Theory Duals of Nonperturbative Heterotic E8xE8 Vacua in Six Dimensions
9610154,Searching for K3 Fibrations
9701165,On Four-Dimensional Compactifications of F-Theory
9701175,Calabi-Yau 4-folds and toric fibrations
9703007,A Class of N=1 Dual String Pairs and its Modular Superpotential
9703148,"Comments on A,B,C Chains of Heterotic and Type II Vacua"
9310035,Anomaly Inflow for Gauge Defects
9604178,Strings on Orientifolds
9606176,Multiple Realisations of N=1 Vacua in Six Dimensions
9607019,An Orientifold from F Theory
9607057,Orbifold and Orientifold Compactifications of F-Theory and M-Theory to Six and Four Dimensions
9607229,Comments on Gepner Models and Type I Vacua in String Theory
9608053,"F Theory Orientifolds, M Theory Orientifolds, and Twisted Strings"
9611050,TASI Lectures on D-Branes
9612126,Enhanced Gauge Symmetry in M(atrix) Theory
9702038,RG Fixed Points in Six Dimensions via Branes at Orbifold Singularities
9605030,Nonperturbative Evolution Equation for Quantum Gravity
9609159,Physical Interpretation Of Certain Strong Coupling Singularities
9610140,Aspects of Type IIB Theory on ALE Spaces
9703098,Notes on Supersymmetric Gauge Theories in Five and Six Dimensions
9703167,Global Anomalies and Geometric Engineering of Critical Theories in Six Dimensions
9609111,On the Duality between the Heterotic String and F-Theory in 8 Dimensions
9701129,Compactifications of F-Theory on Calabi-Yau Threefolds at Constant Coupli ng
9702061,F-theory and the Gimon-Polchinski Orientifold
9610076,Superconformal Fixed Points with E_n Global Symmetry
9611063,"Mirror Symmetry in Three-Dimensional Gauge Theories, Quivers and D-branes"
9611201,M-Theory Origin of Mirror Symmetry in Three Dimensional Gauge Theories
9612085,"Non-Critical Strings, Del Pezzo Singularities And Seiberg-Witten Curves"
9702180,Geometry of N=1 Dualities in Four Dimensions
9703100,Dynamics of N=2 Supersymmetric Gauge Theories in Three Dimensions
9703110,Aspects of N=2 Supersymmetric Gauge Theories in Three Dimensions
9703210,"Orientifolds, Branes, and Duality of 4D Gauge Theories"
9704043,"Type IIA Superstrings, Chiral Symmetry, and N=1 4D Gauge Theory Dualities"
9704044,Brane Configurations and 4D Field Theory Dualities
9704061,"Geometry, D-Branes and N=1 Duality in Four Dimensions I"
9704104,Brane Dynamics and N=1 Supersymmetric Gauge Theory
9704170,"Branes, Superpotentials and Superconformal Fixed Points"
9705004,"Geometry, D-Branes and N=1 Duality in Four Dimensions II"
9609176,Unification of String Dualities
9610043,M Theory As A Matrix Model: A Conjecture
9705113,A note on M(atrix) theory in seven dimensions with eight supercharges
9705175,String Dualities from Matrix Theory
9706155,"From M-theory to F-theory, with Branes"
9506052,The Moduli Space Metric for Well Separated BPS Monoples
9601003,D-brane actions
9602077,Comments on Three-Branes
9702136,Matrix Theory and U-Duality in Seven Dimensions
9704089,Matrix Description of M-theory on $T^4$ and $T^5$
9705162,"Gravitational Duality, Branes and Charges"
