node_id,mag_paper_id,title,class_idx,cluster_id
176,2117327438,efficient reconciliation protocol for discrete variable quantum key distribution,28,2
177,2118013417,the evolution of navigable small world networks,34,30
178,2118203533,likelihood gradient evaluation using square root covariance filters,19,25
179,2121933323,a tensor approach to learning mixed membership community models,24,22
180,2123936825,optimizing continued fraction expansion based iir realization of fractional order differ integrators with genetic algorithm,19,32
181,2125290027,towards randomized testing of q monomials in multivariate polynomials,9,30
182,2127724539,convergence of tâtonnement in fisher markets,36,35
183,2128095813,dolfin automated finite element computing,32,2
184,2129139293,differential equations for algebraic functions,14,30
185,2130190443,test bed based comparison of single and parallel tcp and the impact of parallelism on throughput and fairness in heterogenous networks,8,0
186,2131830786,navigation domain representation for interactive multiview imaging,1,0
187,2132489970,on the metric distortion of nearest neighbour graphs on random point sets,8,2
188,2132690206,an analysis of device free and device based wifi localization systems,8,2
189,2136783219,directed information graphs,28,30
190,2136787699,design and analysis of a multi carrier differential chaos shift keying communication system,21,30
191,2136961259,depechemood a lexicon for emotion analysis from crowd annotated news,30,36
192,2137586949,a framework for specifying prototyping and reasoning about computational systems,2,2
193,2137768004,hierarchical hidden markov model in detecting activities of daily living in wearable videos for studies of dementia,1,2
194,2137817852,the rank and hanna neumann property of some submonoids of a free monoid,33,30
195,2138241565,non linear estimation is easy,7,30
196,2141581456,fast and scalable structural svm with slack rescaling,24,28
197,2146699143,a degree centrality in multi layered social network,26,1
198,2148698193,four conceptions of instruction sequence faults,23,2
199,2149210625,a game theoretic analysis of incentives in content production and sharing over peer to peer networks,8,2
200,2151152358,subjective and objective quality assessment of image a survey,1,2
201,2152052626,edge intersection graphs of l shaped paths in grids,39,30
202,2152297266,convergence analysis using the edge laplacian robust consensus of nonlinear multi agent systems via iss method,19,30
203,2152849372,on the complexity of computing the capacity of codes that avoid forbidden difference patterns,28,32
204,2153982189,the long and the short of it summarising event sequences with serial episodes,34,30
205,2155894515,sequential complexity as a descriptor for musical similarity,31,30
206,2157527521,a classification for community discovery methods in complex networks,26,30
207,2160583936,the cost of an epidemic over a complex network a random matrix approach,26,2
208,2161621396,the secrecy capacity of compound gaussian mimo wiretap channels,28,35
209,2162258888,choreographies and behavioural contracts on the way to dynamic updates,2,30
210,2164383533,graph homomorphisms circular colouring and fractional covering by h cuts,39,2
211,2165136719,the θ 5 graph is a spanner,20,2
212,2165228812,labelrank a stabilized label propagation algorithm for community detection in networks,26,2
213,2165925342,topical interests and the mitigation of search engine bias,3,14
214,2167761279,parallel interleaver design for a high throughput hspa lte multi standard turbo decoder,28,2
215,2168347639,android malware detection using parallel machine learning classifiers,4,30
216,2169137280,multi view constrained clustering with an incomplete mapping between views,24,30
217,2172166764,assembling thefacebook using heterogeneity to understand online social network assembly,26,2
218,2180882408,diffusing private data over networks,34,2
219,2184854395,finger based technique fbt an innovative system for improved usability for the blind users dynamic interaction with mobile touch screen devices,6,2
220,2193438280,fast algorithms for game theoretic centrality measures,36,2
221,2196015344,directional global three part image decomposition,16,2
222,2197635914,green cognitive relaying opportunistically switching between data transmission and energy harvesting,28,30
223,2204743480,predicting the sentiment polarity and rating of yelp reviews,31,30
224,2206436691,beauty and brains detecting anomalous pattern co occurrences,10,1
225,2217972116,towards a direct by need evaluator for dependently typed languages,22,30
226,2223375486,adm cle approach for detecting slow variables in continuous time markov chains and dynamic data,7,2
227,2223602738,real time sign language fingerspelling recognition using convolutional neural networks from depth map,16,30
228,2225420026,a game theoretic perspective on communication for omniscience,28,1
229,2227810799,improper gaussian signaling in full duplex relay channels with residual self interference,28,2
230,2228910404,an action language for multi agent domains foundations,10,2
231,2231526355,on ultralimits of sparse graph classes,39,2
232,2235247707,political speech generation,30,30
233,2240922584,a preliminary study on the learning informativeness of data subsets,30,2
234,2243067292,cutting recursive autoencoder trees,30,30
235,2247424319,entropy and syntropy in the context of five valued logics,10,2
236,2249293447,exploring the influence of scale on artist attribution,16,30
237,2254815396,proof terms for infinitary rewriting progress report,2,28
238,2257646213,prediction of links and weights in networks by reliable routes,26,2
239,2257722703,efficient coding for multi source networks using g acs k orner common information,28,28
240,2264830470,map support detection for greedy sparse signal recovery algorithms in compressive sensing,28,2
241,2268095327,integrity verification for outsourcing uncertain frequent itemset mining,37,2
242,2268261130,optimal staged self assembly of general shapes,20,2
243,2268733610,an encoding of array verification problems into array free horn clauses,22,2
244,2268938174,supervised dimensionality reduction via distance correlation maximization,24,30
245,2270218991,daleel simplifying cloud instance selection using machine learning,5,28
246,2270384168,a truthful mechanism with biparameter learning for online crowdsourcing,10,30
247,2273364576,high performance python for direct numerical simulations of turbulent flows,32,15
248,2275960700,system power minimization to access non contiguous spectrum in cognitive radio networks,8,2
249,2278003675,improved bounds for shortest paths in dense distance graphs,34,25
250,2280286192,sketching for sequential change point detection,24,30
251,2281477989,emergence of consensus in a multi robot network from abstract models to empirical validation,11,30
252,2284844860,constructions of snake in the box codes under ell_ infty metric for rank modulation,28,2
253,2287998125,an improved analysis of the er spud dictionary learning algorithm,24,30
254,2289178639,large peg army maneuvers,39,25
255,2289616950,scanning and parsing languages with ambiguities and constraints the lamb and fence algorithms,33,2
256,2292071457,overload control in sip networks a heuristic approach based on mathematical optimization,8,2
257,2292156587,nesting depth of operators in graph database queries expressiveness vs evaluation complexity,2,2
258,2292233400,fetishizing food in digital age foodporn around the world,26,2
259,2292983454,satisfiability for two variable logic with two successor relations on finite linear orders,2,30
260,2295360187,learning over long time lags,13,2
261,2295748565,adaptive delay tolerant dstbc in opportunistic relaying cooperative mimo systems,28,36
262,2296412986,pagerank pipeline benchmark proposal for a holistic system benchmark for big data platforms,29,1
263,2309645005,networked constrained cyber physical systems subject to malicious attacks a resilient set theoretic control approach,19,2
264,2324768677,distributed edge caching scheme considering the tradeoff between the diversity and redundancy of cached content,8,2
265,2333200408,the case for dynamic key distribution for pki based vanets,8,2
266,2336798767,distributed technology sustained pervasive applications,3,2
267,2336902217,more than a million ways to be pushed a high fidelity experimental dataset of planar pushing,27,2
268,2339293227,on design mining coevolution and surrogate models,13,30
269,2339690594,on the combinatorial complexity of approximating polytopes,20,30
270,2340411850,dmath a scalable linear algebra and math library for heterogeneous gp gpu architectures,13,35
271,2340518101,on multi point local decoding of reed muller codes,28,2
272,2342601131,faster r cnn features for instance search,16,2
273,2344349469,hirl hierarchical inverse reinforcement learning for long horizon tasks with delayed rewards,27,2
274,2344391187,kernelized covariance for action recognition,16,2
275,2345456657,on the gi completeness of a sorting networks isomorphism,9,2
276,2345495628,on empirical cumulant generating functions of code lengths for individual sequences,28,2
277,2346786930,improving image captioning by concept based sentence reranking,16,2
278,2356394976,inference based semantics in data exchange,37,2
279,2396289155,bounds on the communication rate needed to achieve sk capacity in the hypergraphical source model,28,2
280,2398498549,total variation reconstruction for compressive sensing using nonlocal lagrangian multiplier,16,2
281,2402158869,inter technology coexistence in a spectrum commons a case study of wi fi and lte in the 5 ghz unlicensed band,8,30
282,2404467351,secure repairable fountain codes,28,30
283,2404691361,the logic of counting query answers,2,30
284,2405163796,secure friend discovery via privacy preserving and decentralized community detection,4,35
285,2407537099,iris recognition with a database of iris images obtained in visible light using smartphone camera,16,30
286,2408074187,residual networks are exponential ensembles of relatively shallow networks,16,10
287,2408337087,i accidentally the whole internet,8,2
288,2408511749,do users focus on the correct cues to differentiate between phishing and genuine emails,3,30
289,2408795146,spontaneous subtle expression detection and recognition based on facial strain,16,2
290,2410872382,dialport connecting the spoken dialog research community to real user data,10,25
291,2410943269,low complexity antenna selection for low target rate users in dense cloud radio access networks,28,0
292,2411326260,interdiction in practice hardware trojan against a high security usb flash drive,4,2
293,2412257014,computing backup forwarding rules in software defined networks,8,30
294,2413522668,bitcoin s security model revisited,4,30
295,2416903034,latent bi constraint svm for video based object recognition,16,2
296,2417853429,minimax estimation of kl divergence between discrete distributions,28,2
297,2418863753,weighted residuals for very deep networks,16,36
298,2431266723,image edge detection based on swarm intelligence using memristive networks,18,2
299,2435229718,the crossover process learnability meets protection from inference attacks,24,30
300,2443333194,fundamentals of modeling finite wireless networks using binomial point process,28,25
301,2460547098,double detector for sparse signal detection from one bit compressed sensing measurements,28,2
302,2462262952,a modified activation function with improved run times for neural networks,13,2
303,2462831000,bridging nonlinearities and stochastic regularizers with gaussian error linear units,24,10
304,2463545666,there is something beyond the twitter network,26,2
305,2463731291,show me the cup reference with continuous representations,30,2
306,2465128116,a note on some inequalities used in channel polarization and polar coding,28,2
307,2466365654,energy efficient routing in wireless networks in the presence of jamming,8,30
308,2466463215,improved lower bounds for online hypercube packing,34,36
309,2470804058,neural network based next song recommendation,31,1
310,2471451742,person identification based on hand tremor characteristics,6,30
311,2476291847,community detection in political twitter networks using nonnegative matrix factorization methods,26,28
312,2477904218,a non parametric learning approach to identify online human trafficking,24,30
313,2482193752,doubly massive mmwave mimo systems using very large antenna arrays at both transmitter and receiver,28,36
314,2485579787,context discovery for model learning in partially observable environments,27,36
315,2494463181,a linear kernel for finding square roots of almost planar graphs,34,2
316,2505385900,on hybrid pilot for channel estimation in massive mimo uplink,28,0
317,2509446789,reflections on shannon information in search of a natural information entropy for images,28,36
318,2510207728,indexing and querying color sets of images,34,30
319,2511093380,secret sharing with trusted third parties using piggy bank protocol,4,2
320,2514222156,testing k monotonicity,34,2
321,2514795163,recurrent regression for face recognition,16,2
322,2515043645,identifying dogmatism in social media signals and models,30,2
323,2516389973,a non stochastic learning approach to energy efficient mobility management,8,30
324,2520305843,pilot contamination attack detection by key confirmation in secure mimo systems,28,36
325,2521305694,relief r cnn utilizing convolutional feature interrelationship for fast object detection deployment,16,24
326,2522790424,detection of biasing attacks on distributed estimation networks,19,2
327,2523612053,psi ψ a private data sharing interface,4,1
328,2524377659,the north south divide in the italian higher education system,38,5
329,2524638710,fusing similarity models with markov chains for sparse sequential recommendation,31,30
330,2525951180,cnndroid gpu accelerated execution of trained deep convolutional neural networks on android,5,11
331,2527255948,ap16 ol7 a multilingual database for oriental languages and a language recognition baseline,30,25
332,2530700328,computation of forward stochastic reach sets application to stochastic dynamic obstacle avoidance,19,1
333,2531240553,distributed averaging cnn elm for big data,24,36
334,2533229206,topic based influence computation in social networks under resource constraints,26,2
335,2538853998,code definition analysis for call graph generation,23,30
336,2541244035,learning to reason with adaptive computation,30,2
337,2542357048,geometry of polysemy,30,2
338,2547373914,towards lifelong self supervision a deep learning direction for robotics,27,2
339,2559424230,poseidon face from depth for driver pose estimation,16,30
340,2563605494,signal to noise in matching markets,36,2
341,2564814930,tactics and tallies inferring voter preferences in the 2016 u s presidential primaries using sparse learning,26,30
342,2574004477,distributed algorithm for collision avoidance at road intersections in the presence of communication failures,8,30
343,2575436837,on the content security policy violations due to the same origin policy,4,2
344,2577189726,a new backpressure algorithm for joint rate control and routing with vanishing utility optimality gaps and finite queue lengths,8,6
345,2578277702,optimal placement delivery arrays,28,2
346,2580068393,factored contextual policy search with bayesian optimization,24,2
347,2581141195,optimal inference in crowdsourced classification via belief propagation,24,30
348,2582507901,localization in mobile networks via virtual convex hulls,19,30
349,2582667927,flexonc joint cooperative forwarding and network coding with precise encoding conditions,8,2
350,2583019817,neural networks based eeg speech models,25,2
351,2583317429,fairness aware caching and radio resource allocation for the downlink of multi cell ofdma systems,28,2
352,2583379913,distributed infrastructure inspection path planning subject to time constraints,27,32
353,2585522788,robust multigrid for cartesian interior penalty dg formulations of the poisson equation in 3d,0,30
354,2587700222,smpost parts of speech tagger for code mixed indic social media text,30,0
355,2587944871,quantifying search bias investigating sources of bias for political searches in social media,26,14
356,2588356017,the submodular secretary problem under a cardinality constraint and with limited resources,34,0
357,2591735613,statistical anomaly detection via composite hypothesis testing for markov models,19,2
358,2591857971,sparse representation based multi sensor image fusion a review,16,2
359,2592546902,communication efficient algorithms for distributed stochastic principal component analysis,24,2
360,2593178238,secure virtual network embedding in a multi cloud environment,8,2
361,2593221019,a time series distance measure for efficient clustering of input output signals by their underlying dynamics,19,2
362,2594414520,unsupervised domain adaptation using approximate label matching,24,2
363,2594502924,robust phase retrieval via admm with outliers,28,2
364,2594757924,belief propagation in conditional rbms for structured prediction,24,25
365,2601670820,a consensus based secondary control layer for stable current sharing and voltage balancing in dc microgrids,19,2
366,2604507718,sce a manifold regularized set covering method for data partitioning,16,0
367,2604993425,coupling of crop assignment and vehicle routing for harvest planning in agriculture,19,2
368,2605020549,why smart appliances may result in a stupid energy grid,19,30
369,2605095164,lesionseg semantic segmentation of skin lesions using deep convolutional neural network,16,30
370,2605333377,applying deep machine learning for psycho demographic profiling of internet users using o c e a n model of personality,24,30
371,2605775151,parsimonious data how a single facebook like predicts voting behavior in multiparty systems,26,0
372,2605904100,simplified stochastic feedforward neural networks,24,30
373,2606279635,middleware technologies for cloud of things a survey,5,2
374,2607126301,a robust blind watermarking using convolutional neural network,1,30
375,2608161825,on predicting geolocation of tweets using convolutional neural networks,26,2
376,2608199279,a general private information retrieval scheme for mds coded databases with colluding servers,28,23
377,2608771265,extending word problems in deterministic finite automata,33,36
378,2608992661,optimal algorithms for hitting topological minors on graphs of bounded treewidth,34,36
379,2610416447,query adaptive video summarization via quality aware relevance estimation,16,30
380,2610850660,data augmentation for low resource neural machine translation,30,8
381,2610905707,large scale feature selection of risk genetic factors for alzheimer s disease via distributed group lasso regression,24,2
382,2611510109,understanding people flow in transportation hubs,16,2
383,2612161657,lexipers an ontology based sentiment lexicon for persian,30,2
384,2612364175,cross sentence n ary relation extraction with graph lstms,30,30
385,2613593596,mining communication data in a music community a preliminary analysis,26,2
386,2613614176,cross lingual distillation for text classification,30,30
387,2613807087,performance analysis of decoupled cell association in multi tier hybrid networks using real blockage environments,28,30
388,2615344953,completeness theorems for pomset languages and concurrent kleene algebras,33,2
389,2617308160,an effective algorithm for hyperparameter optimization of neural networks,10,2
390,2618429789,an algorithm of frequency estimation for multi channel coprime sampling,28,2
391,2618680849,the emergence and evolution of the research fronts in hiv aids research,26,30
392,2620911965,mobile edge computing empowers internet of things,5,1
393,2621813772,the temporal event graph,26,2
394,2622049782,deepsf deep convolutional neural network for mapping protein sequences to folds,24,30
395,2622353612,adversarial playground a visualization suite for adversarial sample generation,4,2
396,2623604707,securing databases from probabilistic inference,4,36
397,2625030192,persistent flows and non reciprocal interactions in deterministic networks,19,30
398,2625226699,simultaneous merging multiple grid maps using the robust motion averaging,10,2
399,2675515042,joint resource allocation in swipt based multi antenna decode and forward relay networks,28,2
400,2694027581,sequential composition in the presence of intermediate termination,2,28
401,2725310424,on the role of text preprocessing in neural network architectures an evaluation study on text categorization and sentiment analysis,30,2
402,2726162513,on sound relative error bounds for floating point arithmetic,22,2
403,2726481478,a simple centrality index for scientific social recognition,38,2
404,2731764626,speaker recognition with cough laugh and wei,25,30
405,2732305114,centralized and distributed sparsification for low complexity message passing algorithm in c ran architectures,28,2
406,2733117079,on signal reconstruction from frog measurements,28,30
407,2733858448,a note on first order spectra with binary relations,2,28
408,2735642330,toward controlled generation of text,24,20
409,2736337741,a pilot study of domain adaptation effect for neural abstractive summarization,30,32
410,2736532986,wireless powered cooperative jamming for secure ofdm system,28,30
411,2737126875,digital investigation of pdf files unveiling traces of embedded malware,4,34
412,2737803646,an alon boppana type bound for weighted graphs and lowerbounds for spectral sparsification,39,32
413,2738498529,a knowledge based analysis of the blockchain protocol,4,2
414,2738663878,machine learning for anomaly detection and categorization in multi cloud environments,4,2
415,2739505911,synthesis of positron emission tomography pet images via multi channel generative adversarial networks gans,16,30
416,2739512085,challenging neural dialogue models with natural data memory networks fail on incremental phenomena,30,25
417,2740603799,towards vision based smart hospitals a system for tracking and monitoring hand hygiene compliance,16,30
418,2741859509,an open source c implementation of multi threaded gaussian mixture models k means and expectation maximisation,32,2
419,2741995211,a comparative study of the clinical use of motion analysis from kinect skeleton data,16,2
420,2742909326,structural patterns of information cascades and their implications for dynamics and semantics,26,2
421,2743758565,nonconvex sparse logistic regression with weakly convex regularization,24,1
422,2744766693,improved speech reconstruction from silent video,16,30
423,2744770518,layouts for plane graphs on constant number of tracks,20,2
424,2747096658,a fast noniterative algorithm for compressive sensing using binary measurement matrices,28,32
425,2749617271,activation maximization generative adversarial nets,24,26
426,2749784589,non uniform wavelet sampling for rf analog to information conversion,28,30
427,2749856959,an fpt algorithm for planar multicuts with sources and sinks on the outer face,34,2
428,2751688886,passgan a deep learning approach for password guessing,4,26
429,2752263152,too far to see not really pedestrian detection with scale aware localization policy,16,30
430,2752395459,the satisfiability problem for boolean set theory with a choice correspondence,2,1
431,2752451318,the descriptive complexity of modal mu model checking games,2,2
432,2752998136,progress space tradeoffs in single writer memory implementations,5,2
433,2754420477,one bit sphere decoding for uplink massive mimo systems with one bit adcs,28,30
434,2754539945,an inversion based learning approach for improving impromptu trajectory tracking of robots with non minimum phase dynamics,27,30
435,2755572239,safe robust reachability analysis of hybrid systems,2,2
436,2755624925,validity guided synthesis of reactive systems from assume guarantee contracts,23,30
